"id";"model";"brand_id";"description";"price";"ramGb";"screenSizeInch";"storageGb";"color";"quantity";"createdOn";"updatedOn"
1;"iPhone 14 Pro Max";2;"ไอโฟนเรือธงรุ่นล่าสุด มาพร้อม Dynamic Island จอใหญ่สุดในตระกูล กล้องระดับโปร";42900;6;6.7;512;"Space Black";5;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
2;"iPhone 14";2;"ไอโฟนรุ่นใหม่ล่าสุด รองรับ 5G เร็วแรง ถ่ายภาพสวยทุกสภาพแสง";29700;6;6.1;256;"Midnight";8;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
3;"iPhone 13 Pro";2;"ไอโฟนรุ่นโปร จอ ProMotion 120Hz กล้องระดับมืออาชีพ";33000;6;6.1;256;"Sierra Blue";3;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
4;"iPhone 13";2;"Previous gen base model";23100;4;6.1;128;"Pink";10;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
5;"iPhone 12 Pro Max";2;"2020 flagship model";29700;6;6.7;256;"Pacific Blue";4;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
6;"iPhone 12";2;"2020 base model";19800;4;6.1;128;"Purple";6;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
7;"iPhone SE 2022";2;"Budget-friendly model";14190;4;4.7;64;"Starlight";15;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
8;"iPhone 14 Plus";2;"iPhone 14 Plus 128GB สี Starlight
เครื่องศูนย์ไทย โมเดล TH
แบต 100% มีกล่องครบ ประกันศูนย์ถึง พ.ย. 68
ส่งฟรี";29700;6;6.7;256;"Blue";7;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
9;"iPhone 13 mini";2;"Compact previous gen";19800;4;5.4;128;"Green";5;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
10;"iPhone 12 mini";2;"Compact 2020 model";16500;4;5.4;64;"Red";4;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
16;"Galaxy S23 Ultra";1;"Samsung Galaxy S23 Ultra 512GB สีดำปีศาจ
สภาพนางฟ้า 99% ไร้รอย แถมเคสแท้ 
แบตอึดสุดๆ รองรับปากกา S-Pen
อุปกรณ์ครบกล่อง ประกันศูนย์เหลือ 6 เดือน
ส่งฟรี";39600;0;6.8;512;" null";6;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
17;"Galaxy S23+";1;"Premium flagship model";33000;8;6.6;256;"Cream";8;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
18;"Galaxy Z Fold4";1;"สมาร์ทโฟนพับได้สุดล้ำ จอใหญ่เท่าแท็บเล็ต ทำงานได้หลากหลาย";59400;12;7.6;256;"Phantom Green";3;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
19;"Galaxy Z Flip4";1;"Compact foldable";33000;8;6.7;128;"Bora Purple";5;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
20;"Galaxy A53 5G";1;"มือถือ 5G สเปคดี กล้องเทพ แบตอึด คุ้มค่าน่าใช้";14850;6;6.5;128;"Awesome Blue";12;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
21;"Galaxy A33 5G";1;"Budget 5G phone";11550;6;6.4;128;"Awesome White";15;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
22;"Galaxy S22";1;"เรือธงตัวท็อปจาก Samsung พร้อม S Pen ในตัว กล้อง 200MP ซูมไกลสุด 100x";26400;8;6.1;128;"Pink Gold";7;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
23;"Galaxy M53";1;"Mid-range performance";14850;6;6.7;128;"Green";9;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
24;"Galaxy A73 5G";1;"Premium mid-range";16500;8;6.7;256;"Gray";6;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
25;"Galaxy S21 FE";1;"Fan Edition model";19800;6;6.4;128;"Olive";8;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
31;"13 Pro";3;"เรือธงสเปคแรงจาก Xiaomi กล้องไลก้า ชาร์จไว 120W";33000;12;6.7;256;"Black";8;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
32;"13T Pro";3;"Xiaomi 13T Pro 12/512GB สี Meadow Green
ชิป Dimensity 9200+ เร็วแรง
กล้อง Leica ถ่ายรูปสวยขั้นเทพ
มีที่ชาร์จ 120W ครบกล่อง
จัดส่งฟรีทั่วประเทศ";23100;12;0.0;0;"Alpine Blue";6;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
33;"POCO F5";3;"มือถือสเปคเทพ เน้นเล่นเกม จอ 120Hz ราคาคุ้มค่า";13200;8;6.7;256;"Carbon Black";10;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
34;"Redmi Note 12 Pro";3;"กล้องคมชัด 108MP แบตอึด ชาร์จเร็ว ราคาโดนใจ";9900;8;6.7;128;"Sky Blue";15;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
35;"12T Pro";3;"Previous flagship";21450;8;6.7;256;"Cosmic Black";5;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
36;"POCO X5 Pro";3;"Mid-range performer";9900;8;6.7;128;"Yellow";12;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
37;"Redmi 12C";3;"Budget friendly";5940;4;6.7;64;"Ocean Blue";20;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
38;"12 Lite";3;"Slim mid-range";13200;8;6.6;128;"Lite Pink";8;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
39;"POCO M5";3;"Budget gaming";7590;6;6.6;128;"Power Black";14;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
40;"Redmi Note 11";3;"Previous gen mid-range";8250;6;6.4;128;"Star Blue";10;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
46;"P60 Pro";4;"กล้องเรือธงระดับเทพ เซ็นเซอร์ใหญ่พิเศษ ถ่ายภาพกลางคืนสวยเยี่ยม";36300;12;6.7;256;"Rococo Pearl";5;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
47;"Mate 50 Pro";4;"เรือธงตระกูล Mate จอ OLED คมชัด ดีไซน์พรีเมียม";42900;8;6.7;256;"Silver Black";4;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
48;"nova 11 Pro";4;"สมาร์ทโฟนดีไซน์สวย กล้องหน้าคู่ เน้นเซลฟี่ ชาร์จไว";19800;8;6.8;256;"Green";8;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
49;"P50 Pro";4;"Previous flagship";29700;8;6.6;256;"Cocoa Gold";6;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
50;"nova 10";4;"Stylish mid-range";16500;8;6.7;128;"Starry Silver";10;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
51;"Mate X3";4;"Premium foldable";66000;12;7.9;512;"Feather Gold";3;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
52;"nova 9";4;"Previous mid-range";13200;8;6.6;128;"Starry Blue";12;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
53;"P50 Pocket";4;"Foldable fashion";46200;8;6.9;256;"Premium Gold";4;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
54;"nova Y70";4;"Budget friendly";9900;4;6.8;128;"Crystal Blue";15;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
55;"Mate 40 Pro";4;"Classic flagship";26400;8;6.8;256;"Mystic Silver";5;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
61;"ROG Phone 7";12;"สมาร์ทโฟนเกมมิ่งสเปคโหด จอ 165Hz เสียงสเตอริโอคู่ แบตอึด";33000;16;6.8;512;"Phantom Black";4;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
62;"ROG Phone 6D";12;"เกมมิ่งโฟนพลังแรง CPU Dimensity ระบายความร้อนเยี่ยม";29700;16;6.8;256;"Space Gray";5;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
63;"Zenfone 9";12;"มือถือกะทัดรัด สเปคแรง กล้องกันสั่น ใช้ง่ายมือเดียว";23100;8;5.9;128;"Midnight Black";8;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
64;"ROG Phone 6";12;"Previous gaming flagship";29700;12;6.8;256;"Storm White";6;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
65;"Zenfone 8";12;"Previous compact flagship";19800;8;5.9;128;"Obsidian Black";7;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
66;"ROG Phone 5s";12;"Gaming performance";26400;12;6.8;256;"Phantom Black";5;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
67;"Zenfone 8 Flip";12;"Flip camera flagship";26400;8;6.7;256;"Galactic Black";4;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
68;"ROG Phone 5";12;"Classic gaming phone";23100;12;6.8;256;"Storm White";6;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
69;"Zenfone 7";12;"Flip camera classic";19800;8;6.7;128;"Aurora Black";5;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
70;"ROG Phone 3";12;"Legacy gaming phone";16500;12;6.6;256;"Black Glare";3;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
76;"Find X6 Pro";10;"กล้องเทพระดับมืออาชีพ ชิป Snapdragon 8 Gen 2 ชาร์จไว 100W";33000;12;6.8;256;"Cosmos Black";5;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
77;"Reno9 Pro+";10;"OPPO Reno9 Pro+ 5G 256GB สี Glossy Purple
สวยสะดุดตา ใช้งานลื่นสุดๆ
แบต 4700 mAh รองรับชาร์จไว
ครบกล่อง + ใบเสร็จศูนย์
ส่งฟรี Flash Express";23100;12;6.7;256;"Eternal Gold";8;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
78;"Find N2 Flip";10;"สมาร์ทโฟนพับได้สุดหรู จอนอกใหญ่พิเศษ กล้องคู่คมชัด";33000;8;6.8;256;"Astral Black";4;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
79;"Reno8 Pro";10;"ดีไซน์บางเบา กล้องคมชัด ชาร์จเร็วสุด ระบบเสียงดี";19800;8;6.7;256;"Glazed Green";10;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
80;"Find X5 Pro";10;"Previous flagship";29700;12;6.7;256;"Ceramic White";6;"2025-05-02 17:34:18";"2025-05-02 17:34:18"
81;"A78";10;"Mid-range performer";9900;8;6.6;128;"Glowing Black";15;"2025-05-02 17:34:19";"2025-05-02 17:34:19"
82;"Reno7";10;"Style focused mid-range";13200;8;6.4;128;"Startrails Blue";12;"2025-05-02 17:34:19";"2025-05-02 17:34:19"
83;"Find X5 Lite";10;"Previous gen lite";14850;8;6.4;128;"Starry Black";8;"2025-05-02 17:34:19";"2025-05-02 17:34:19"
84;"A77";10;"Budget friendly";8250;6;6.6;128;"Ocean Blue";20;"2025-05-02 17:34:19";"2025-05-02 17:34:19"
85;"Reno6 Pro";10;"Classic premium";16500;12;6.6;256;"Arctic Blue";7;"2025-05-02 17:34:19";"2025-05-02 17:34:19"
